Hora ; I DC ; V DC ; P DC ; I Eficaz ; V Eficaz ; S ; FP 
15:00:02 ; -3.25 ; 30.74 ; -99.64 ; 0.24 ; 201.01 ; 47.84 ; 0.61
15:05:02 ; -2.00 ; 28.95 ; -59.55 ; 0.27 ; 205.82 ; 54.73 ; 0.70
15:10:03 ; -1.36 ; 26.07 ; -35.48 ; 0.37 ; 205.28 ; 76.64 ; 0.74
15:15:00 ; -1.48 ; 25.89 ; -38.20 ; 0.36 ; 203.60 ; 73.55 ; 0.74
15:20:00 ; -1.17 ; 25.97 ; -30.33 ; 0.38 ; 203.28 ; 76.69 ; 0.71
15:25:00 ; -1.55 ; 25.45 ; -39.38 ; 0.37 ; 201.03 ; 73.46 ; 0.83
15:30:00 ; -1.36 ; 25.47 ; -34.53 ; 0.34 ; 200.63 ; 68.34 ; 0.83
15:35:01 ; -0.37 ; 26.05 ; -9.58 ; 0.35 ; 203.05 ; 71.40 ; 0.86
15:40:01 ; -0.48 ; 25.83 ; -12.35 ; 0.28 ; 204.66 ; 56.47 ; 0.82
15:45:01 ; -0.85 ; 25.54 ; -21.72 ; 0.21 ; 206.14 ; 43.07 ; 0.78
15:50:02 ; -1.44 ; 25.14 ; -36.29 ; 0.26 ; 205.70 ; 53.41 ; 0.63
15:55:03 ; -2.38 ; 28.49 ; -69.17 ; 0.15 ; 205.04 ; 30.68 ; 0.35
16:00:00 ; -2.79 ; 30.22 ; -84.35 ; 0.13 ; 204.13 ; 25.54 ; 0.22
16:05:01 ; -2.78 ; 30.57 ; -85.07 ; 0.06 ; 204.53 ; 11.88 ; 0.18
16:10:02 ; -1.75 ; 25.68 ; -45.63 ; 0.24 ; 204.74 ; 48.89 ; 0.57
16:15:03 ; -1.83 ; 24.84 ; -45.33 ; 0.23 ; 204.84 ; 46.87 ; 0.58
16:20:03 ; -1.83 ; 24.86 ; -45.51 ; 0.23 ; 205.47 ; 47.81 ; 0.58
16:25:00 ; -2.45 ; 24.45 ; -60.00 ; 0.26 ; 203.76 ; 51.90 ; 0.58
16:30:00 ; -2.43 ; 24.36 ; -59.06 ; 0.20 ; 203.98 ; 39.91 ; 0.52
16:35:01 ; -2.00 ; 24.79 ; -49.66 ; 0.20 ; 206.26 ; 41.85 ; 0.51
16:40:02 ; -2.48 ; 24.35 ; -60.37 ; 0.20 ; 202.98 ; 40.70 ; 0.48
16:45:02 ; -2.59 ; 24.18 ; -62.57 ; 0.19 ; 203.29 ; 39.42 ; 0.46
16:50:03 ; -2.62 ; 24.17 ; -63.18 ; 0.23 ; 204.41 ; 47.04 ; 0.57
16:55:00 ; -1.70 ; 25.13 ; -42.90 ; 0.10 ; 207.36 ; 20.34 ; 0.49
17:00:00 ; -2.16 ; 29.86 ; -64.38 ; 0.07 ; 207.30 ; 15.49 ; 0.32
17:05:01 ; -1.84 ; 25.74 ; -47.83 ; 0.11 ; 208.09 ; 22.01 ; 0.41
17:10:00 ; -2.22 ; 29.55 ; -65.47 ; 0.01 ; 207.67 ; 1.51 ; 0.13
17:15:00 ; -2.16 ; 29.55 ; -63.74 ; 0.08 ; 207.99 ; 16.70 ; 0.25
17:20:00 ; -2.16 ; 29.44 ; -63.49 ; 0.07 ; 207.83 ; 14.59 ; 0.30
17:25:03 ; -2.15 ; 28.30 ; -60.89 ; 0.03 ; 207.10 ; 6.95 ; 0.17
17:30:01 ; -2.23 ; 26.83 ; -60.05 ; 0.03 ; 207.74 ; 5.36 ; 0.10
17:35:00 ; -2.21 ; 28.86 ; -63.78 ; -0.01 ; 206.66 ; -1.59 ; 0.04
17:40:01 ; -2.12 ; 25.37 ; -53.80 ; 0.07 ; 206.48 ; 13.75 ; 0.28
17:45:02 ; -2.01 ; 23.43 ; -47.03 ; 0.07 ; 207.55 ; 13.66 ; 0.28
17:50:00 ; -2.01 ; 25.82 ; -52.25 ; 0.05 ; 207.81 ; 10.16 ; 0.18
17:55:01 ; -2.15 ; 28.26 ; -60.64 ; 0.07 ; 206.75 ; 13.59 ; 0.21
18:00:01 ; -2.13 ; 24.68 ; -52.56 ; 0.06 ; 206.52 ; 12.44 ; 0.27
18:05:03 ; -2.21 ; 22.21 ; -49.28 ; 0.06 ; 206.90 ; 11.52 ; 0.25
